,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
1516,KR7049480007,A049480,오픈베이스,오픈베이스,"Openbase, Inc.",2001/01/09,KOSDAQ,주권,중견기업부,보통주,500,31422383
1517,KR7309930006,A309930,오하임아이엔티,오하임아이엔티,"OHEIM INT Co.,Ltd.",2018/12/20,KOSDAQ,주권,중견기업부,보통주,100,20507691
1518,KR7078590007,A078590,온코퀘스트파마슈티컬,OQP,OncoQuest Pharmaceuticals Inc.,2005/10/27,KOSDAQ,주권,관리종목(소속부없음),보통주,200,83006958
1519,KR7244460002,A244460,올리패스,올리패스,OLIPASS Corporation,2019/09/20,KOSDAQ,주권,기술성장기업부,보통주,500,25826572
1520,KR7226950004,A226950,올릭스,올릭스,"Olix Pharmaceuticals, Inc.",2018/07/18,KOSDAQ,주권,기술성장기업부,보통주,500,13703160
1521,KR7057540007,A057540,옴니시스템,옴니시스템,"Omnisystem Co., Ltd",2007/09/19,KOSDAQ,주권,우량기업부,보통주,500,46449355
1522,KR7082210006,A082210,옵트론텍,옵트론텍,OPTRONTEC Inc.,2005/06/24,KOSDAQ,주권,중견기업부,보통주,500,24383997
1523,KR7109080002,A109080,옵티시스,옵티시스,"OPTICIS CO., LTD.",2011/07/12,KOSDAQ,주권,벤처기업부,보통주,500,5636000
1524,KR7153710009,A153710,옵티팜,옵티팜,"Optipharm. CO., LTD",2018/10/26,KOSDAQ,주권,기술성장기업부,보통주,500,14589458
1525,KR7051390003,A051390,와이더블유,YW,YW COMPANY LIMITED,2001/11/15,KOSDAQ,주권,중견기업부,보통주,500,11355368
1526,KR7321820003,A321820,와이더플래닛,와이더플래닛,Wider Planet Inc.,2021/02/03,KOSDAQ,주권,기술성장기업부,보통주,500,6897482
1527,KR7057030009,A057030,와이비엠넷,YBM넷,"YBM NET, Inc.",2004/06/08,KOSDAQ,주권,중견기업부,보통주,500,16312697
1528,KR7122990005,A122990,와이솔,와이솔,"WiSoL CO., LTD.",2010/09/10,KOSDAQ,주권,우량기업부,보통주,500,28186941
1529,KR7232140004,A232140,와이아이케이,와이아이케이,YIK Corporation,2015/12/24,KOSDAQ,주권,우량기업부,보통주,100,82045350
1530,KR7065530008,A065530,와이어블,와이어블,Wiable,2002/06/04,KOSDAQ,주권,중견기업부,보통주,500,52860000
1531,KR7067900001,A067900,와이엔텍,와이엔텍,"Y-ENTEC CO.,LTD.",2005/12/23,KOSDAQ,주권,우량기업부,보통주,500,18199659
1532,KR7155650005,A155650,와이엠씨,와이엠씨,"YMC Co., Ltd.",2012/11/15,KOSDAQ,주권,우량기업부,보통주,500,19974358
1533,KR7273640003,A273640,와이엠텍,와이엠텍,"YM Tech Co., Ltd.",2021/09/10,KOSDAQ,주권,벤처기업부,보통주,500,5483000
1534,KR7251370003,A251370,와이엠티,와이엠티,"YMT CO., LTD.",2017/04/27,KOSDAQ,주권,우량기업부,보통주,500,14954978
1535,KR7066430000,A066430,와이오엠,와이오엠,"Y-OPTICS MANUFACTURE Co., Ltd.",2002/12/24,KOSDAQ,주권,중견기업부,보통주,500,15855736
1536,KR7193250008,A193250,와이제이엠게임즈,와이제이엠게임즈,"YJM Games Co., Ltd.",2014/12/29,KOSDAQ,주권,중견기업부,보통주,100,57183559
1537,KR7273060004,A273060,와이즈버즈,와이즈버즈,Wise birds Inc.,2017/08/07,KOSDAQ,주권,중견기업부,보통주,100,48561742
1538,KR7019210004,A019210,와이지-원,와이지-원,"YG-1 CO., LTD",1997/08/06,KOSDAQ,주권,중견기업부,보통주,500,30573819
1539,KR7122870009,A122870,와이지엔터테인먼트,와이지엔터테인먼트,YG Entertainment Inc.,2011/11/23,KOSDAQ,주권,중견기업부,보통주,500,18441369
1540,KR7037270006,A037270,와이지플러스보통주,YG PLUS,YG PLUS,2003/08/01,KOSPI,주권,,보통주,500,63429410
1541,KR7011690005,A011690,와이투솔루션보통주,와이투솔루션,Y2 Solution,1995/12/21,KOSPI,주권,,보통주,500,147235637
1542,KR7040300006,A040300,와이티엔,YTN,YTN,2001/09/04,KOSDAQ,주권,중견기업부,보통주,1000,42000000
1543,KR7332570001,A332570,와이팜,와이팜,Wireless Amplifier Module Inc.,2020/07/31,KOSDAQ,주권,우량기업부,보통주,500,37141356
